cancer_type	n_A	r_A	rho_A	MAE_A	bias_A	n_B	r_B	rho_B	MAE_B	bias_B	d_r	d_rho	d_MAE	d_absbias
PAAD	143	0.561924612776573	0.609852282553475	7.55839907774532	0.86298391358002	143	0.539394755690021	0.601018672495477	7.63058247640714	0.378298503641757	-0.0225298570865518	-0.00883361005799721	0.0721833986618217	-0.484685409938263
KICH	65	0.88805065148723	0.561989638946388	2.10209684331034	1.08791464156672	65	0.858894652000976	0.486834417564602	2.32946650748764	1.11801194126645	-0.0291559994862541	-0.075155221381786	0.227369664177301	0.0300972996997346
SKCM	104	0.468327561840912	0.423964497634209	10.4041680879009	7.67007495849549	104	0.438122234643489	0.407932787675677	11.0284812664125	8.43002591746074	-0.0302053271974224	-0.016031709958532	0.624313178511621	0.759950958965251
SARC	213	0.516598411713373	0.552995862900749	17.9899317224213	-15.4446557070974	213	0.480345888313975	0.485733247875378	16.9565136265183	-13.643533216584	-0.0362525233993981	-0.0672626150253711	-1.03341809590295	-1.80112249051343
BLCA	388	0.675232873243859	0.684098519885349	9.90293515634725	-0.0261468427894817	388	0.629260681635722	0.631529196717584	10.0678646668329	-1.86993184789942	-0.0459721916081378	-0.052569323167765	0.164929510485639	1.84378500510993
MESO	78	0.554768343401084	0.596632941194253	7.53298666305043	-2.10221561903369	78	0.474475224703207	0.503462630476686	7.50536377848641	-0.806615368627506	-0.0802931186978769	-0.0931703107175665	-0.0276228845640194	-1.29560025040619
LIHC	355	0.532644866815579	0.491094359891287	8.46086374297885	4.44665322281169	355	0.430862985013576	0.37191841602431	9.78155349325537	6.3443025524913	-0.101781881802002	-0.119175943866977	1.32068975027652	1.89764932967961
PCPG	160	0.109941307399206	0.082962693736021	9.09632498759223	8.29208001114601	160	-0.00774138234451645	-0.0203433703827596	6.0033523238412	1.73675526184651	-0.117682689743722	-0.103306064118781	-3.09297266375103	-6.5553247492995
KIRP	262	0.547668460517202	0.302009947336704	3.50610609591093	0.853864155877253	262	0.420872329193485	0.153010623086961	4.99662298834239	2.71904241927171	-0.126796131323718	-0.148999324249743	1.49051689243146	1.86517826339445
OV	10	0.635738427408306	0.612121212121212	12.405105372511	-7.45994240972913	10	0.38538466911725	0.0303030303030303	13.6887230524239	-6.64176551266454	-0.250353758291056	-0.581818181818182	1.28361767991287	-0.818176897064589
