gene_set	signature_id	candidate_ids	expressed_ids	status
HRD_GENE_NEGATIVE	ENSG00000139985	8747	8747	matched
HRD_GENE_NEGATIVE	ENSG00000144504	51281	51281	matched
HRD_GENE_NEGATIVE	ENSG00000164331	57763	57763	matched
HRD_GENE_NEGATIVE	ENSG00000183020	161	161	matched
HRD_GENE_NEGATIVE	ENSG00000042753	1175	1175	matched
HRD_GENE_NEGATIVE	ENSG00000122644	10124	10124	matched
HRD_GENE_NEGATIVE	ENSG00000196433	438	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000018625	477	477	matched
HRD_GENE_NEGATIVE	ENSG00000159199	516	516	matched
HRD_GENE_NEGATIVE	ENSG00000166377	374868	374868	matched
HRD_GENE_NEGATIVE	ENSG00000140320	22893	22893	matched
HRD_GENE_NEGATIVE	ENSG00000132692	63827	63827	matched
HRD_GENE_NEGATIVE	ENSG00000147439	55909	55909	matched
HRD_GENE_NEGATIVE	ENSG00000012048	672	672	matched
HRD_GENE_NEGATIVE	ENSG00000145741	689	689	matched
HRD_GENE_NEGATIVE	ENSG00000120458	79684	79684	matched
HRD_GENE_NEGATIVE	ENSG00000180861	283422	283422	matched
HRD_GENE_NEGATIVE	ENSG00000134153	56851	56851	matched
HRD_GENE_NEGATIVE	ENSG00000170222	56985	56985	matched
HRD_GENE_NEGATIVE	ENSG00000130813	55337	55337	matched
HRD_GENE_NEGATIVE	ENSG00000149635	128506	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000196476	140680	140680	matched
HRD_GENE_NEGATIVE	ENSG00000183624	56941	56941	matched
HRD_GENE_NEGATIVE	ENSG00000146576	79034	79034	matched
HRD_GENE_NEGATIVE	ENSG00000165131	135927	""	not_in_expression_universe
HRD_GENE_NEGATIVE	ENSG00000135045	55071	55071	matched
HRD_GENE_NEGATIVE	ENSG00000142330	11132	11132	matched
HRD_GENE_NEGATIVE	ENSG00000180881	84698	84698	matched
HRD_GENE_NEGATIVE	ENSG00000244607	152206	152206	matched
HRD_GENE_NEGATIVE	ENSG00000130783	84660	84660	matched
HRD_GENE_NEGATIVE	ENSG00000134480	902	902	matched
HRD_GENE_NEGATIVE	ENSG00000129757	1028	1028	matched
HRD_GENE_NEGATIVE	ENSG00000064309	50937	50937	matched
HRD_GENE_NEGATIVE	ENSG00000079432	23152	23152	matched
HRD_GENE_NEGATIVE	ENSG00000109572	1182	1182	matched
HRD_GENE_NEGATIVE	ENSG00000136152	83548	83548	matched
HRD_GENE_NEGATIVE	ENSG00000113163	10087	10087	matched
HRD_GENE_NEGATIVE	ENSG00000014919	1355	1355	matched
HRD_GENE_NEGATIVE	ENSG00000112695	1347	1347	matched
HRD_GENE_NEGATIVE	ENSG00000145920	10814	10814	matched
HRD_GENE_NEGATIVE	ENSG00000088882	56265	56265	matched
HRD_GENE_NEGATIVE	ENSG00000008405	1407	1407	matched
HRD_GENE_NEGATIVE	ENSG00000144579	58190	58190	matched
HRD_GENE_NEGATIVE	ENSG00000163464	3577	3577	matched
HRD_GENE_NEGATIVE	ENSG00000110063	28960	28960	matched
